施設名,調査_年月日,郵便番号,全国地方公共団体コード,都道府県名,市区町村名,町丁目名,電話番号,施設URL,緯度,経度,駐車場の有無,駐車可能台数,車いす専用駐車場の有無,駐車可能台数2,エレベーターの有無,台数（Aタイプ）,定員数（Aタイプ）,奥行(cm)（Aタイプ）,入口幅(cm)（Aタイプ）,音声案内の有無（Aタイプ）,点字表示(エレベーター内)の有無（Aタイプ）,車いす利用者用パネル(ボタン)の有無（Aタイプ）,台数（Bタイプ）,定員数（Bタイプ）,奥行(cm)（Bタイプ）,入口幅(cm)（Bタイプ）,音声案内の有無（Bタイプ）,点字表示(エレベーター内)の有無（Bタイプ）,車いす利用者用パネル(ボタン)の有無（Bタイプ）,台数（Cタイプ）,定員数（Cタイプ）,奥行(cm)（Cタイプ）,入口幅(cm)（Cタイプ）,音声案内の有無（Cタイプ）,点字表示(エレベーター内)の有無（Cタイプ）,車いす利用者用パネル(ボタン)の有無（Cタイプ）,台数（Dタイプ）,定員数（Dタイプ）,奥行(cm)（Dタイプ）,入口幅(cm)（Dタイプ）,音声案内の有無（Dタイプ）,点字表示(エレベーター内)の有無（Dタイプ）,車いす利用者用パネル(ボタン)の有無（Dタイプ）,台数（Eタイプ）,定員数（Eタイプ）,奥行(cm)（Eタイプ）,入口幅(cm)（Eタイプ）,音声案内の有無（Eタイプ）,点字表示(エレベーター内)の有無（Eタイプ）,車いす利用者用パネル(ボタン)の有無（Eタイプ）,入口名称,自動ドアの有無,施設出入口付近スロープの有無,施設出入口の間口有効寸法(cm),施設出入口の段差の有無,段差の高さ(cm),階段の手すりの有無,点字ブロックの有無,敷地内道路の点字ブロックの有無,館内の点字ブロックの有無,点字や浮き出し文字による館内案内マップの有無,だれでもトイレの設置有無,施設内合計設置数,設置フロア階層,オストメイト対応トイレの有無,施設内合計設置数3,設置フロア階層4,エスカレーターの有無,車いす対応エスカレーターの有無（階段昇降機の有無）,可動式スロープの有無,補助犬のエサ用ボールの有無,個数,補助犬のマットの有無,枚数,補助犬専用トイレの有無,設置箇所数,筆談対応用備品の有無,個数5,聴覚障害者用　振動時計の有無,個数6,聴覚障害者用　タッチパネルの有無,個数7,フラッシュベル（聴覚障害者用アラートシステム）の貸出の可否,個数8,ベビーチェアの貸出の可否,台数,ベビーベッドの貸出の可否,台数9,ベビーカーの貸出の可否,台数10,車いすの貸出の可否,台数11,シャワーチェアの貸出の可否,台数12,移動式手すりの貸出の可否,個数13,点字や浮き出し文字による館内案内マップの貸出の可否,個数14,施設内おむつ交換台の有無,台数15,字幕対応テレビの有無,個数16,スタッフの手話対応の可否,対応可能日時（曜日や時間帯等）,スタッフの筆談対応の可否,対応可能日時（曜日や時間帯等）17,送迎車の有無,ノンステップ対応車の有無,（乗降車時における車いす使用者への対応）ドアマン・ベルスタッフ対応の可否,（乗降車時における車いす使用者への対応）乗降車用スロープの配備有無,傾斜型自動券売機の有無,ホームドアの有無,授乳室の有無,備考
サントリーホール,2020/2/17,1070052,131032,東京都,港区,港区赤坂1-13-1,03-3505-1001,https://www.suntory.co.jp/suntoryhall/,35.66663667,139.7413914,無,,無,,有,1,11,130,90,有,有,有,,,,,,,,1,17,176,105,,,,,,,,,,,,,,,,,,,無,無,160,無,,有,無,無,無,無,有,6,"1F,2F",有,7,"1F,2F",有,無,無,無,,無,,有,1,無,,無,,無,,無,,無,,無,,無,,有,3,無,,無,,無,,有,4,無,,無,,有,開場～閉門,無,無,無,無,無,無,有,補助犬専用トイレ自体はないが、専用トイレスペースを設置
サンシャイン水族館,2024/11/21,1700013,131164,東京都,豊島区,豊島区東池袋3-1 サンシャインシティ ワールドインポートマートビル・屋上,03-3989-3466,https://sunshinecity.jp/aquarium/,35.72890389,139.7200567,有,1778,有,22,有,1,11,205,90,有,有,有,4,27,168,160,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,129,無,,有,無,無,無,無,有,2,"1F,2F",有,1,1F,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,7,無,,無,,有,営業時間内（季節により変動あり、公式サイト参照）,無,無,無,無,無,無,有,ベビーカー、車いすの貸出しは、サンシャインシティ内で可能（台数に限りあり）
サンシャイン60展望台 てんぼうパーク,2024/11/25,1700013,131164,東京都,豊島区,豊島区東池袋3-1 サンシャインシティ サンシャイン60ビル・60F,03-3989-3457,https://sunshinecity.jp/observatory/,35.72917861,139.7189242,有,1778,有,22,有,2,23,178,110,無,無,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,210,無,,無,無,無,無,無,有,1,60F,有,1,60F,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,3,無,,無,,有,営業時間内（季節により変動あり、公式サイト参照）,無,無,無,無,無,無,無,ベビーカー、車いすの貸出しは、サンシャインシティ内で可能（台数に限りあり）
しながわ水族館,2024/2/29,1400012,131091,東京都,品川区,品川区勝島3-2-1,03-3762-3433,https://www.aquarium.gr.jp/,35.58856556,139.7373867,有,96,有,2,有,（本館）1,20,197,139,無,有,無,（アザラシ館）1,なし,207,89,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,141,無,,有,有,有,無,無,有,2,"B1,1F",有,2,"B1,1F",無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,3,無,,無,,無,,有,6,無,,無,,有,10:00～17:00,有,無,無,無,無,無,有,
マクセル　アクアパーク品川,2024/2/29,1080074,131032,東京都,港区,港区高輪4-10-30(品川プリンスホテル内),03-5421-1111,https://www.aqua-park.jp,35.62789028,139.7350994,無,,無,,有,1,24,180,100,有,有,有,1,15,150,89,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,180,無,,有,有,無,有,無,有,2,"1F,2F",有,1,1F,有,有,無,無,,無,,無,,有,2,無,,無,,無,,無,,無,,無,,有,3,無,,無,,無,,有,6,無,,無,,有,営業時間に準ずる,無,無,無,無,無,無,有,
東京スカイツリー,2022/1/31,1310045,131075,東京都,墨田区,墨田区押上1-1-2,0570-55-0634,http://www.tokyo-skytree.jp/,35.710031,139.810701,無,,無,,有,4,40,233,200,有,有,有,2,40,233,200,,,,1,15,150,100,,,,,,,,,,,,,,,,,,正面エントランス,有,無,161,無,,有,有,有,有,有,有,12,"B1F,1F,4F,5F,340,345,350,450",有,8,"B1F,1F,4F,5F,340,345,350,450",有,無,無,無,,無,,有,1,有,10,無,,無,,無,,有,12,無,,有,3,有,26,無,,無,,無,,有,16,無,,無,,有,全日可,無,無,無,無,無,無,有,駐車場は、東京ソラマチと共用です。エレベーター①は、4階 入口フロア・5階 出口フロア～天望デッキ、 エレベーター②は、天望デッキ～天望回廊、エレベーター③は、天望デッキ内専用車イス・ベビーカー優先エレベーターとなります。
すみだ水族館,2024/11/9,1310045,131075,東京都,墨田区,墨田区押上1-1-2 東京スカイツリータウン・ソラマチ5F・6F,03-5619-1821,https://www.sumida-aquarium.com/,35.70997333,139.8098972,無,,無,数,有,1,26,248,120,有,有,有,1,15,164,98,,,,,,,,,,,,,,,,,,,,,,,,,メインエントランス,有,無,168,無,,有,有,無,有,無,有,3,"5F,6F",有,3,"5F,6F",有,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,あり,無,,無,,無,,有,8,無,,無,,有,不定,無,無,無,無,無,無,有,駐車場は館内にはないが、東京スカイツリータウンに有り。車椅子の貸し出しは台数限定であり。
愛らんどセンター御神火温泉,2020/2/18,1000101,133612,東京都,大島町,大島町元町字仲の原1-8,04992-2-0909,https://www.town.oshima.tokyo.jp/soshiki/kankou/gojinka.html,34.75608722,139.3517517,有,22,有,1,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,150,無,,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,店舗営業時間内,無,無,無,無,無,無,無,車椅子用トイレ有り
八丈富士 ふれあい牧場,2020/2/21,1001400,134015,東京都,八丈島八丈町,八丈島八丈町,04996-2-1125,,33.13132278,139.76717,有,15,有,1,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,82,無,2,無,無,無,無,無,有,1,1,有,1,1,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,
生涯青春の湯 つるつる温泉,2020/2/28,1900181,133051,東京都,西多摩郡日の出町,西多摩郡日の出町大久野4718,042-597-1126, http://www.tsurutsuru-onsen.com,35.779468,139.192093,有,140,有,1,有,1,11,140,76,無,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,165,無,,有,無,無,無,無,有,1,1F,無,,,無,無,無,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,3,無,,無,,有,10:00～20：00,無,無,無,無,無,無,有,
日本銀行金融研究所 貨幣博物館,2020/3/4,1030021,131024,東京都,中央区,中央区日本橋本石町1-3-1,03-3277-3037,https://www.imes.boj.or.jp/cm/,35.685422,139.771868,無,,無,,有,1,11,140,90,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,180,無,,有,無,無,無,有,有,1,2F,有,1,2F,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,1,無,,無,,有,開館時間内,無,無,無,無,無,無,無,
切手の博物館,2024/11/22,1710031,131164,東京都,豊島区,豊島区目白1-4-23,03-5951-3331,https://kitte-museum.jp,35.718349,139.705796,無,,有,1,有,1,13,143,88,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,138,無,,有,無,無,無,無,有,1,1F,無,,,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,1,無,,無,,有,開館時間内,無,無,無,無,無,無,無,
山種美術館,2020/2/27,1500012,131130,東京都,渋谷区,渋谷区広尾3-12-36,03-5467-1101,http://www.yamatane-museum.jp/,35.653294,139.713785,無,,有,1,有,1,24,160,178,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,155,無,,有,有,有,有,無,有,1,1F,無,,,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,有,1,有,3,無,,無,,無,,有,1,無,,無,,有,美術館開館時間内,無,無,無,無,無,無,無,駐車場は、1台分しかないため事前に予約申請が必要
一般財団法人 東武博物館,2024/11/8,1310032,131075,東京都,墨田区,墨田区東向島4-28-16,03-3614-8811,https://www.tobu.co.jp/museum/,35.72475,139.819461,有,12,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,177,無,,有,無,無,無,無,有,1,1F,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,新型コロナ感染防止のため貸し出し不可,無,新型コロナ感染防止のため貸し出し不可,無,,無,,無,,有,2,無,,無,,有,営業時間内,無,無,無,無,有,無,有,
たばこと塩の博物館,2024/2/29,1300003,131075,東京都,墨田区,墨田区横川1-16-3,03-3622-8801,http://tabashio.jp,35.705762,139.808513,有,,有,6（車いす利用に限らず、身体の不自由な方利用可）,有,1,13,139,87,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,111,無,,無,有,有,有,無,有,3,"1F,2F,3F",有,3,"1F,2F,3F",有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,5,無,,無,,無,,有,1,無,,無,,有,開館時間内,無,無,無,無,無,無,有,歩行器（2台）・杖（5本）の貸し出しあり　・一般車及び50ccを超える二輪の駐車は不可
高尾599ミュージアム,2024/11/9,1930844,132012,東京都,八王子市,八王子市高尾町2435-3,042-665-6688,https://www.takao599museum.jp/,35.63039,139.268722,無,,無,,有,1,11,125,90,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,126,無,,有,有,有,有,有,有,2,"1F,2F",有,1,1F,無,無,無,無,,無,,無,,有,1,無,,無,,無,,有,4,無,,有,1,有,1,無,,無,,無,,有,5,無,,無,,有,開館時間内,無,無,無,無,無,無,有,当施設には駐車・駐輪場はございません。近隣の駐車、駐輪場をご利用ください。
