施設名,調査_年月日,郵便番号,全国地方公共団体コード,都道府県名,市区町村名,町丁目名,電話番号,施設URL,緯度,経度,駐車場の有無,駐車可能台数,車いす専用駐車場の有無,駐車可能台数2,エレベーターの有無,台数（Aタイプ）,定員数（Aタイプ）,奥行(cm)（Aタイプ）,入口幅(cm)（Aタイプ）,音声案内の有無（Aタイプ）,点字表示(エレベーター内)の有無（Aタイプ）,車いす利用者用パネル(ボタン)の有無（Aタイプ）,台数（Bタイプ）,定員数（Bタイプ）,奥行(cm)（Bタイプ）,入口幅(cm)（Bタイプ）,音声案内の有無（Bタイプ）,点字表示(エレベーター内)の有無（Bタイプ）,車いす利用者用パネル(ボタン)の有無（Bタイプ）,台数（Cタイプ）,定員数（Cタイプ）,奥行(cm)（Cタイプ）,入口幅(cm)（Cタイプ）,音声案内の有無（Cタイプ）,点字表示(エレベーター内)の有無（Cタイプ）,車いす利用者用パネル(ボタン)の有無（Cタイプ）,台数（Dタイプ）,定員数（Dタイプ）,奥行(cm)（Dタイプ）,入口幅(cm)（Dタイプ）,音声案内の有無（Dタイプ）,点字表示(エレベーター内)の有無（Dタイプ）,車いす利用者用パネル(ボタン)の有無（Dタイプ）,台数（Eタイプ）,定員数（Eタイプ）,奥行(cm)（Eタイプ）,入口幅(cm)（Eタイプ）,音声案内の有無（Eタイプ）,点字表示(エレベーター内)の有無（Eタイプ）,車いす利用者用パネル(ボタン)の有無（Eタイプ）,入口名称,自動ドアの有無,施設出入口付近スロープの有無,施設出入口の間口有効寸法(cm),施設出入口の段差の有無,段差の高さ(cm),階段の手すりの有無,点字ブロックの有無,敷地内道路の点字ブロックの有無,館内の点字ブロックの有無,点字や浮き出し文字による館内案内マップの有無,だれでもトイレの設置有無,施設内合計設置数,設置フロア階層,オストメイト対応トイレの有無,施設内合計設置数3,設置フロア階層4,エスカレーターの有無,車いす対応エスカレーターの有無（階段昇降機の有無）,可動式スロープの有無,補助犬のエサ用ボールの有無,個数,補助犬のマットの有無,枚数,補助犬専用トイレの有無,設置箇所数,筆談対応用備品の有無,個数5,聴覚障害者用　振動時計の有無,個数6,聴覚障害者用　タッチパネルの有無,個数7,フラッシュベル（聴覚障害者用アラートシステム）の貸出の可否,個数8,ベビーチェアの貸出の可否,台数,ベビーベッドの貸出の可否,台数9,ベビーカーの貸出の可否,台数10,車いすの貸出の可否,台数11,シャワーチェアの貸出の可否,台数12,移動式手すりの貸出の可否,個数13,点字や浮き出し文字による館内案内マップの貸出の可否,個数14,施設内おむつ交換台の有無,台数15,字幕対応テレビの有無,個数16,スタッフの手話対応の可否,対応可能日時（曜日や時間帯等）,スタッフの筆談対応の可否,対応可能日時（曜日や時間帯等）17,送迎車の有無,ノンステップ対応車の有無,（乗降車時における車いす使用者への対応）ドアマン・ベルスタッフ対応の可否,（乗降車時における車いす使用者への対応）乗降車用スロープの配備有無,傾斜型自動券売機の有無,ホームドアの有無,授乳室の有無,備考
MAIMON GINZA,2020/2/4,1040061,131024,東京都,中央区,銀座8-3 西土橋ビル,03-3569-7733,,35.66879528,139.7586981,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,100,無,11,有,無,無,無,無,無,,,無,,,無,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,
まるごと北海道 国際通り店,2020/2/8,1110032,131067,東京都,台東区,浅草2-11-5　大草ビル,03-5827-1129,https://r.gnavi.co.jp/a135610/,35.7140878,139.7927373,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,71,無,,有,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間内,無,無,無,無,無,無,無,入店後に段差あり（2段、高さ15cm）/入口が狭いが車いすのお客様もお断りはしません。
とんかつ ゆたか,2020/2/14,1110032,131067,東京都,台東区,浅草1-15-9,03-3841-7433,https://www.tonkatu-yutaka-asakusa.com/,35.7117832,139.7940571,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,90,無,,有,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
吉星,2024/12/4,1030013,131024,東京都,中央区,日本橋人形町2-21-5,03-3666-9779,http://www.kichisei.com/,35.68616556,139.7847017,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,84,無,,無,無,無,無,無,有,1,1F,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,
日比谷松本楼,2024/11/8,1000012,131016,東京都,千代田区,日比谷公園1-2,03-3503-1451,http://www.matsumotoro.co.jp/,35.6739515,139.7570638,無,,無,,有,1,11,135,80,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,165,無,,有,無,無,無,無,有,1,1F,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,6,無,,無,,有,1,無,,無,,無,,有,1,無,,無,,有,営業時間内,無,無,無,無,無,無,無,車いすの方などに限って、駐車場の利用可能。利用の際は事前にお店に問い合わせください。
日比谷サロー,2022/1/20,1000012,131016,東京都,千代田区,日比谷公園1-1,03-3591-2411,https://hibiyasaroh.jp/,35.673745,139.7558049,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,95,無,,有,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,有,1,無,,無,,無,,有,3,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,11:30～21:00,無,無,無,無,無,無,無,
テストキッチンエイチ,2020/2/10,1070062,131032,東京都,港区,南青山5-12-13,03-6452-6582,https://www.testkitchen-h.tokyo/,35.6607908,139.7130657,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,91,無,,無,無,無,無,無,有,1,1F,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,17:30～23:00,無,無,無,無,無,無,無,
キハチ 青山本店,2024/11/8,1070061,131032,東京都,港区,北青山2-1-19,03-5785-3641,https://www.kihachi.jp/,35.67248361,139.7203228,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,97,無,12,有,有,有,無,有,有,1,1F,無,,,無,有,無,無,,無,,無,,無,,無,,無,,無,,有,5,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
IL FIGO INGORDO,2020/2/6,1060032,131032,東京都,港区,六本木7-19-1 1F,03-6447-2347,https://www.figo-ingordo.jp/,35.662644,139.727751,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,75,無,9,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,店舗営業時間内,無,無,無,無,無,無,無,
Mercedes me Tokyo（六本木） UPSTAIRS,2022/1/24,1060032,131032,東京都,港区,六本木7-3-10 メルセデスミー東京 2F,03-3423-8775,https://www.mercedesme.jp/cafe_restaurant/,35.665974,139.728169,無,,無,,有,1,11,138,80,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,79,無,16,有,有,有,有,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,営業時間内（11:00～23:00）,無,無,無,無,無,無,無,
中華東海飯店大門本店,2020/2/14,1050012,131032,東京都,港区,芝大門2-4-18,03-6403-4697,,35.6563053,139.7542598,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,91,無,17,有,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,6,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
ツキ シュール ラメール,2020/2/7,1050022,131032,東京都,港区,海岸1-15-5,03-5777-2929,http://www.tsukisurlamer.com/,35.65268861,139.7611669,有,25,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,160,無,1,有,有,無,有,無,有,1,2F,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,5,無,,有,1,有,1,無,,無,,無,,有,1,無,,無,,有,店舗営業時間内,無,無,無,無,無,無,有,車いすは施設正面に向かって右側の道を少し上るとスロープがあり、そのスロープを進むと建物の出入口に着きます。
あぶり清水 両国店,2020/2/3,1300026,131075,東京都,墨田区,両国2-16-6,03-6666-9080,https://aburishimizu.owst.jp/,35.69440806,139.7916514,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,68,無,3,有,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,店舗営業時間内,無,無,無,無,無,無,無,
御苑　炉庵,2020/2/26,1600022,131041,東京都,新宿区,新宿2-9-20　問川ビル 1F,03-6273-2135,,35.6897752,139.7098318,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,入口,無,有,90,無,,無,無,無,無,無,有,1,1F,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
セントル ザ ベーカリー,2020/3/4,1040061,131024,東京都,中央区,銀座1-2-1 東京高速道路紺屋ビル 1F,03-3567-3106,,35.675565,139.766594,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,レストラン入口,無,無,81,無,,無,無,無,無,無,有,1,1F,有,1,1F,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,4,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,
浅草天麩羅 葵丸進,2024/11/8,1110032,131067,東京都,台東区,浅草1-4-4,03-3841-0110,http://www.aoi-marushin.co.jp/,35.7113079,139.7950015,無,,無,,有,1,9,131,85,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,正面玄関,有,無,170,無,,有,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,無,無,無,無,無,無,無,
Angepatio,2020/2/27,1500036,131130,東京都,渋谷区,南平台町12-11 アンジェパティオ,03-3476-7712,https://angepatio.com/,35.65442,139.695932,有,15,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,150,無,8,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,11:30～22:00,無,無,無,無,無,無,有,
レストラン　RAPHAEL,2020/2/18,1510063,131130,東京都,渋谷区,富ヶ谷1-30-24,03-6869-7550,https://www.legend-of-raphael.com/,35.6653274,139.6883735,有,2,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,103,無,,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,5,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間内,無,無,無,無,無,無,有,手すり等を設置した広めのトイレがあり、介助があれば入ることができます
上野の森 パークサイドカフェ,2020/3/5,1100007,131067,東京都,台東区,上野公園8-4,03-5815-8251,https://www.createrestaurants.com/,35.71564,139.774725,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,100,無,,無,無,無,無,無,有,1,1F,有,1,1F,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,12,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
鉄板焼き まえなか,2020/2/18,1070062,131032,東京都,港区,南青山5-12-13,03-6452-6586,https://www.maenaka.tokyo/,35.6608177,139.7130617,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,80,無,,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間内,無,無,無,無,無,無,無,車いす対応トイレは隣接する「テストキッチンＨ」内にあり。
リストランテ濱﨑,2020/3/4,1070062,131032,東京都,港区,南青山4-11-13,03-5772-8520,http://ristorantehamasaki.com/,35.665686,139.717618,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,74,無,,無,無,無,無,無,有,1,1F,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
表参道焼肉 KINTAN,2020/2/27,1070061,131032,東京都,港区,北青山3-10-14　北青山ビル1F,03-5778-4129,https://kintan.restaurant/,35.6641376,139.7103244,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,80,無,15,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
マノワール・ディノ,2020/2/27,1500002,131130,東京都,渋谷区,渋谷4-1-13,03-3406-0200,http://www.manoirdinno.com/,35.659961,139.713033,有,1,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,エントランス,無,無,143,無,13,有,無,無,無,無,無,,,有,2,"1F,2F",無,無,無,無,,無,,無,,有,1,無,,無,,無,,有,4,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,11:30～23:30,無,無,無,無,無,無,有,入口13cmの段差が3段
レストラン・ランス・YANAGIDATE,2020/2/21,1070061,131032,東京都,港区,北青山3-10-13,03-3407-3538,http://reims.co.jp/,35.6643742,139.7105605,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,83,無,14,有,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,4,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,
分とく山本店,2020/2/20,1060047,131032,東京都,港区,南麻布5-1-5,03-5789-3838,https://waketoku.com/,35.6557561,139.7230904,無,,無,,有,1,9,113,80,有,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,85,無,,有,無,無,無,無,有,1,2F,無,,,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
株式会社虎屋　とらや 赤坂店,2024/12/4,1070052,131032,東京都,港区,赤坂4-9-22,03-3408-2331,https://www.toraya-group.co.jp/,35.6752875,139.7326388,有,9,無,,有,2,13,138,90,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,正面入口,有,無,155,無,,有,有,有,有,無,有,3,"B1,2F,3F",有,2,"B1,3F",無,無,無,無,,無,,無,,有,1,無,,無,,無,,有,2,無,,無,,有,1,無,,無,,無,,有,3,無,,無,,無,,無,無,無,無,無,無,有,
つきじ治作,2020/2/21,1040044,131024,東京都,中央区,明石町14-19,03-3541-2391,http://www.jisaku.co.jp/,35.665112,139.7773132,無,,無,,有,1,9,116,82,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,玄関,無,有,165,無,,有,無,無,無,無,有,1,1F,無,,,無,無,無,無,,無,,無,,有,,無,,無,,無,,有,3,無,,無,,有,1,無,,無,,無,,有,1,無,,無,,有,16:00～22:00,無,無,無,無,無,無,無,
築地焼きうお いし川,2020/2/27,1040045,131024,東京都,中央区,築地4-13-5,03-3541-3804,http://aozora3.jp/shop/%e7%af%89%e5%9c%b0%e7%84%bc%e3%81%86%e3%81%8a-%e3%81%84%e3%81%97%e5%b7%9d,35.665196,139.770871,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,80,無,,有,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
Q.E.D.CLUB,2024/11/9,1530061,131105,東京都,目黒区,中目黒1-1-29,03-3711-0006,http://www.qed.co.jp/,35.644191,139.704028,有,5,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,140,無,10,有,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,7,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,営業時間内,無,無,無,無,無,無,無,入口より左手側にスロープ（下り坂）あり、フロアに入ることができます
幸せのパンケーキ 吉祥寺店,2020/2/22,1800004,132039,東京都,武蔵野市,吉祥寺本町1-8-5　レンガ館モール 3F,042-221-2222,https://magia.tokyo/shop,35.7044079,139.5787507,無,,無,,有,1,13,130,85,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,260,無,,有,無,無,無,無,無,,,無,,,有,無,無,無,,無,,無,,無,,無,,無,,無,,有,4,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
SASAYA CAFE,2020/2/20,1300003,131075,東京都,墨田区,横川1-1-10,03-3623-6341,https://sasayacafe.com/,35.703671,139.808526,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,70,無,15,有,無,無,無,無,有,1,1F,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,4,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,営業時間内,無,無,無,無,無,無,無,正面左側にスロープあり
名代 歌乃茶屋,2020/2/18,1000101,133612,東京都,大島町,三原山頂,04992-2-2241,,34.7378,139.3797111,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,165,無,6,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,店舗営業時間内,無,無,無,無,無,無,無,山頂公共駐車場8台有り、山頂公衆トイレ だれでもトイレ有り。
大関寿司,2020/2/18,1000211,133612,東京都,大島町,差木地字クダッチ,04992-4-0372,,34.68219722,139.4355861,有,15,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,75,無,5,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,店舗営業時間内,無,無,無,無,無,無,無,
グッドモーニングカフェ ナワデイズ,2020/3/4,1600015,131041,東京都,新宿区,大京町31-4 ブリリアイスト 1F,03-5362-7460,https://nowadays.tokyo/,35.681186,139.714329,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,135,無,,無,有,有,無,無,無,,,無,,,無,無,無,有,5,無,,無,,無,,無,,無,,無,,有,6,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
