施設名,調査_年月日,郵便番号,全国地方公共団体コード,都道府県名,市区町村名,町丁目名,電話番号,施設URL,緯度,経度,駐車場の有無,駐車可能台数,車いす専用駐車場の有無,駐車可能台数2,エレベーターの有無,台数（Aタイプ）,定員数（Aタイプ）,奥行(cm)（Aタイプ）,入口幅(cm)（Aタイプ）,音声案内の有無（Aタイプ）,点字表示(エレベーター内)の有無（Aタイプ）,車いす利用者用パネル(ボタン)の有無（Aタイプ）,台数（Bタイプ）,定員数（Bタイプ）,奥行(cm)（Bタイプ）,入口幅(cm)（Bタイプ）,音声案内の有無（Bタイプ）,点字表示(エレベーター内)の有無（Bタイプ）,車いす利用者用パネル(ボタン)の有無（Bタイプ）,台数（Cタイプ）,定員数（Cタイプ）,奥行(cm)（Cタイプ）,入口幅(cm)（Cタイプ）,音声案内の有無（Cタイプ）,点字表示(エレベーター内)の有無（Cタイプ）,車いす利用者用パネル(ボタン)の有無（Cタイプ）,台数（Dタイプ）,定員数（Dタイプ）,奥行(cm)（Dタイプ）,入口幅(cm)（Dタイプ）,音声案内の有無（Dタイプ）,点字表示(エレベーター内)の有無（Dタイプ）,車いす利用者用パネル(ボタン)の有無（Dタイプ）,台数（Eタイプ）,定員数（Eタイプ）,奥行(cm)（Eタイプ）,入口幅(cm)（Eタイプ）,音声案内の有無（Eタイプ）,点字表示(エレベーター内)の有無（Eタイプ）,車いす利用者用パネル(ボタン)の有無（Eタイプ）,入口名称,自動ドアの有無,施設出入口付近スロープの有無,施設出入口の間口有効寸法(cm),施設出入口の段差の有無,段差の高さ(cm),階段の手すりの有無,点字ブロックの有無,敷地内道路の点字ブロックの有無,館内の点字ブロックの有無,点字や浮き出し文字による館内案内マップの有無,だれでもトイレの設置有無,施設内合計設置数,設置フロア階層,オストメイト対応トイレの有無,施設内合計設置数3,設置フロア階層4,エスカレーターの有無,車いす対応エスカレーターの有無（階段昇降機の有無）,可動式スロープの有無,補助犬のエサ用ボールの有無,個数,補助犬のマットの有無,枚数,補助犬専用トイレの有無,設置箇所数,筆談対応用備品の有無,個数5,聴覚障害者用　振動時計の有無,個数6,聴覚障害者用　タッチパネルの有無,個数7,フラッシュベル（聴覚障害者用アラートシステム）の貸出の可否,個数8,ベビーチェアの貸出の可否,台数,ベビーベッドの貸出の可否,台数9,ベビーカーの貸出の可否,台数10,車いすの貸出の可否,台数11,シャワーチェアの貸出の可否,台数12,移動式手すりの貸出の可否,個数13,点字や浮き出し文字による館内案内マップの貸出の可否,個数14,施設内おむつ交換台の有無,台数15,字幕対応テレビの有無,個数16,スタッフの手話対応の可否,対応可能日時（曜日や時間帯等）,スタッフの筆談対応の可否,対応可能日時（曜日や時間帯等）17,送迎車の有無,ノンステップ対応車の有無,（乗降車時における車いす使用者への対応）ドアマン・ベルスタッフ対応の可否,（乗降車時における車いす使用者への対応）乗降車用スロープの配備有無,傾斜型自動券売機の有無,ホームドアの有無,授乳室の有無,備考
東京都奥多摩ビジターセンター,2020/1/29,1980212,133086,東京都,西多摩郡奥多摩町,氷川171-1,0428-83-2037,https://www.tokyo-park.or.jp/nature/okutama/index.html,35.808418,139.097623,有,5,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,185,無,,有,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,未定,有,開館日の9：00～16：30,無,無,無,無,無,無,有,
東京都立大島公園海のふるさと村,2020/1/28,1000103,133612,東京都,大島町,泉津字原野２－１,04992-4-1137,https://www.soumu.metro.tokyo.lg.jp/11osima/umifuru/index.html,34.745915,139.443731,有,約80,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,166,無,,有,無,無,無,無,有,4,館内１・２階,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,8:30～17:15,有,無,無,無,無,無,無,「筆談対応」は8：30～17：15は対応可能。5「送迎」はステップ車両にて、昇降の補助は可能。
御岳インフォメーションセンター,2020/1/29,1980173,132055,東京都,青梅市,御岳本町332,0428-85-8652,,35.801388,139.1832239,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,160,無,50,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,
東京都御岳ビジターセンター,2020/1/31,1980175,132055,東京都,青梅市,御岳山38-5,0428-78-9363,https://www.ces-net.jp/mitakevc/,35.78672,139.1506457,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,105,無,,有,無,無,無,無,有,1,1階,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,開館時間内9：0016：00,無,無,無,無,無,無,無,
東京都高尾ビジターセンター,2020/1/29,1930844,132012,東京都,八王子市,高尾町2176,042-664-7872,https://www.ces-net.jp/takaovc/,35.625009,139.243222,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,188,無,,有,無,無,無,無,有,,屋外　1基オスメイト対応,有,,屋外　1基誰でもトイレ,無,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,筆談は随時対応可能,無,無,無,無,無,無,有,屋外のトイレにはおむつ交換台があります。ビジターセンターにはトイレがありません。授乳室は救護室と兼用、傷病対応中は使用できません。
東京都立奥多摩湖畔公園山のふるさと村,2020/1/28,1980225,133086,東京都,西多摩郡奥多摩町,川野１７４０番地,0428-86-2551,http://www.yamafuru.com/,35.763607,139.0237547,有,132,有,2,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,180,無,,無,無,無,無,無,有,3,1階,有,1,1階,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,1,無,,無,,有,特に決まっていない。,有,無,有,有,無,無,無,
東京都小笠原ビジターセンター,2020/1/28,1002101,134210,東京都,小笠原村,父島字西町,04998-2-3001,http://www.tokyo-park.or.jp/nature/ogasawara/,27.093268,142.1920047,有,8,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,143,無,,無,無,無,無,無,有,1,1階,無,,,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,有,1,無,,有,1,無,,無,,無,,有,1,無,,無,,有,開館中の8:3017:00,無,無,有,無,無,無,無,
東京都立小峰公園,2022/2/4,1900152,132284,東京都,あきる野市,留原284-1,042-595-0400,https://www.tokyo-park.or.jp/nature/komine/,35.718396,139.2267853,有,50,有,1,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,130,無,,有,無,無,無,無,有,2,1階,有,1,1階,無,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,3,無,,無,,有,休館日を除く開館時間内,無,無,有,無,無,無,無,
東京都立多幸湾公園ファミリーキャンプ場,2020/1/30,1000601,133647,東京都,神津島村,字榎木が沢2,04992-8-0661,http://takoucamp.com/,34.203641,139.1524448,有,5,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,90,無,,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,曜日：開館日（12/29～1/3以外）　時間帯：8:30～17:00,無,無,無,無,無,無,無,
大島動物園,2020/1/31,1000103,133612,東京都,大島町,泉津字福重２,04992-2-9111,https://www.soumu.metro.tokyo.lg.jp/11osima/park/www/htdocs/parkindex.html,34.760192,139.4362743,有,20,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,140,無,,有,無,無,無,無,有,3,1階,有,1,1階,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,有,2,無,,無,,無,,有,2,無,,無,,無,,無,無,無,無,無,無,有,
八丈ビジターセンター,2020/2/3,1001401,134015,東京都,八丈島八丈町,大賀郷２８４３番地,04996-2-4811,http://www.hachijo-vc.com/vc/vc.php,33.112031,139.785,有,"59(普通車57,バス2)",有,5,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,180,無,,無,無,無,無,無,有,1,1階,無,,,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,無,,無,,無,,有,筆談は随時対応可能,無,無,無,無,無,無,無,
青山公園,2024/12/4,1070062,131032,東京都,港区,南青山２丁目,03-3470-3223,https://www.tokyo-park.or.jp/park/aoyama/,35.668524,139.720671,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,可,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 青山公園南地区の住所は「港区六本木七丁目」です。
赤塚公園,2024/12/4,1750082,131199,東京都,板橋区,高島平三丁目,03-3938-5715,https://www.tokyo-park.or.jp/park/akatsuka/,35.785076,139.656438,有,,有,2,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,4,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,5,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br>「住所」欄にはサービスセンターの住所を記載しております。
秋留台公園,2024/12/4,1970814,132284,東京都,あきる野市,二宮,042-559-6910,https://www.tokyo-park.or.jp/park/akirudai/,35.729273,139.300293,有,,有,3,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,3,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,3,無,,無,,無,,有,3,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、あきる野市平沢にもございます。
井の頭恩賜公園,2024/4/1,1800005,132039,東京都,武蔵野市, 御殿山一丁目,0422-47-6900,https://www.kensetsu.metro.tokyo.lg.jp/jimusho/seibuk/inokashira/index.html,35.7007,139.574491,有,,有,8,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,17,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,21,無,,無,,無,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br>「住所」欄にはサービスセンターの住所を記載しております。
上野恩賜公園,2024/4/1,1100007,131067,東京都,台東区,上野公園,03-3828-5644,https://www.kensetsu.metro.tokyo.lg.jp/jimusho/toubuk/ueno/index_top.html,35.715336,139.773982,有,,有,6,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,9,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,4,無,,無,,無,,有,10,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br>「住所」欄にはサービスセンターの住所を記載しております。
宇喜田公園,2024/4/1,1340081,131237,東京都,江戸川区,北葛西三丁目,03-3636-9365,https://tokyo-eastpark.com/parksearch/ukita,35.674423,139.860592,有,,有,2,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,3,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br>「住所」欄に記載のほかに、江戸川区宇喜田町にもございます。
浮間公園,2024/12/4,1740041,131199,東京都,板橋区,舟渡二丁目,03-3969-9168,https://www.tokyo-park.or.jp/park/format/index009.html,35.794827,139.692878,有,,有,2,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,4,,有,4,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,3,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください 。<br>「住所」欄にはサービスセンターの住所を記載しております。<br>「住所」欄に記載のほかに、北区浮間二丁目にもございます。
大泉中央公園,2021/4/1,1780061,131202,東京都,練馬区,大泉学園町九丁目,03-3867-8096,https://www.tokyo-park.or.jp/park/oizumi-chuo/,35.77462,139.597728,有,,有,2,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br>「住所」欄にはサービスセンターの住所を記載しております。
大神山公園,2024/12/4,1002101,134210,東京都,小笠原村,父島,04998-2-7170,https://www.tokyo-park.or.jp/nature/ogasawara/,142.191557,27.093979,有,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,2,,有,1,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,1,無,,無,,有,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。
大島小松川公園,2024/4/1,1360072,131083,東京都,江東区,大島九丁目,03-3636-9365,https://tokyo-eastpark.com/parksearch/ohjima,35.692509,139.846806,有,,有,4,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,8,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,4,無,,無,,有,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、江戸川区小松川一丁目にもございます。
大戸緑地,2024/4/1,1940211,132098,東京都,町田市,相原町,042-661-0042,https://tamaparks.com/kouen/oto/,35.617521,139.289337,有,,有,1,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,,有,1,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。
尾久の原公園,2024/4/1,1160012,131181,東京都,荒川区,東尾久七丁目,03-3819-8838,https://tokyo-eastpark.com/parksearch/ogunohara,35.751726,139.77705,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,2,,有,1,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,3,無,,無,,有,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br>「住所」欄にはサービスセンターの住所を記載しております。
小山内裏公園,2024/12/4,1940215,132098,東京都,町田市,小山ヶ丘四丁目,042-676-8865,https://www.tokyo-park.or.jp/park/oyamadairi/,35.606146,139.368198,有,,有,8,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,6,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,4,無,,無,,無,,有,6,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、八王子市南大沢四・五丁目、鑓水二丁目にもございます。
小山田緑地,2024/12/4,1940202,132098,東京都,町田市,下小山田町,042-797-8968,https://www.tokyo-park.or.jp/park/oyamadaryokuchi/,35.596194,139.416319,有,,有,5,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,4,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,3,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、町田市上小山田町にもございます。
葛西臨海公園,2024/12/4,1340086,131237,東京都,江戸川区,臨海町六丁目,03-5696-1331,https://www.tokyo-park.or.jp/park/kasairinkai/,35.642245,139.860296,有,,有,30,有,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,19,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,3,有,9,無,,無,,無,,有,17,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br>「住所」欄にはサービスセンターの住所を記載しております。
亀戸中央公園,2024/4/1,1360071,131083,東京都,江東区,亀戸九丁目,03-3636-2558,https://tokyo-eastpark.com/parksearch/kameido,35.699909,139.838447,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,3,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,,無,無,無,無,無,無,無,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br>「住所」欄にはサービスセンターの住所を記載しております。
砧公園,2024/12/4,1570075,131121,東京都,世田谷区,砧公園,03-3700-0414,https://www.tokyo-park.or.jp/park/kinuta/,35.630429,139.620212,有,,有,4,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,9,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,8,無,,無,,無,,有,7,無,,無,,有,,無,無,無,無,無,無,有,工事等のため対応状況が変更となる場合がございますので、詳細は各公園へお問合せください。<br> 「住所」欄にはサービスセンターの住所を記載しております。<br> 「住所」欄に記載のほかに、世田谷区大蔵一丁目にもございます。
