施設名,調査_年月日,郵便番号,全国地方公共団体コード,都道府県名,市区町村名,町丁目名,電話番号,施設URL,緯度,経度,駐車場の有無,駐車可能台数,車いす専用駐車場の有無,駐車可能台数2,エレベーターの有無,台数（Aタイプ）,定員数（Aタイプ）,奥行(cm)（Aタイプ）,入口幅(cm)（Aタイプ）,音声案内の有無（Aタイプ）,点字表示(エレベーター内)の有無（Aタイプ）,車いす利用者用パネル(ボタン)の有無（Aタイプ）,台数（Bタイプ）,定員数（Bタイプ）,奥行(cm)（Bタイプ）,入口幅(cm)（Bタイプ）,音声案内の有無（Bタイプ）,点字表示(エレベーター内)の有無（Bタイプ）,車いす利用者用パネル(ボタン)の有無（Bタイプ）,台数（Cタイプ）,定員数（Cタイプ）,奥行(cm)（Cタイプ）,入口幅(cm)（Cタイプ）,音声案内の有無（Cタイプ）,点字表示(エレベーター内)の有無（Cタイプ）,車いす利用者用パネル(ボタン)の有無（Cタイプ）,台数（Dタイプ）,定員数（Dタイプ）,奥行(cm)（Dタイプ）,入口幅(cm)（Dタイプ）,音声案内の有無（Dタイプ）,点字表示(エレベーター内)の有無（Dタイプ）,車いす利用者用パネル(ボタン)の有無（Dタイプ）,台数（Eタイプ）,定員数（Eタイプ）,奥行(cm)（Eタイプ）,入口幅(cm)（Eタイプ）,音声案内の有無（Eタイプ）,点字表示(エレベーター内)の有無（Eタイプ）,車いす利用者用パネル(ボタン)の有無（Eタイプ）,入口名称,自動ドアの有無,施設出入口付近スロープの有無,施設出入口の間口有効寸法(cm),施設出入口の段差の有無,段差の高さ(cm),階段の手すりの有無,点字ブロックの有無,敷地内道路の点字ブロックの有無,館内の点字ブロックの有無,点字や浮き出し文字による館内案内マップの有無,だれでもトイレの設置有無,施設内合計設置数,設置フロア階層,オストメイト対応トイレの有無,施設内合計設置数3,設置フロア階層4,エスカレーターの有無,車いす対応エスカレーターの有無（階段昇降機の有無）,可動式スロープの有無,補助犬のエサ用ボールの有無,個数,補助犬のマットの有無,枚数,補助犬専用トイレの有無,設置箇所数,筆談対応用備品の有無,個数5,聴覚障害者用　振動時計の有無,個数6,聴覚障害者用　タッチパネルの有無,個数7,フラッシュベル（聴覚障害者用アラートシステム）の貸出の可否,個数8,ベビーチェアの貸出の可否,台数,ベビーベッドの貸出の可否,台数9,ベビーカーの貸出の可否,台数10,車いすの貸出の可否,台数11,シャワーチェアの貸出の可否,台数12,移動式手すりの貸出の可否,個数13,点字や浮き出し文字による館内案内マップの貸出の可否,個数14,施設内おむつ交換台の有無,台数15,字幕対応テレビの有無,個数16,スタッフの手話対応の可否,対応可能日時（曜日や時間帯等）,スタッフの筆談対応の可否,対応可能日時（曜日や時間帯等）17,送迎車の有無,ノンステップ対応車の有無,（乗降車時における車いす使用者への対応）ドアマン・ベルスタッフ対応の可否,（乗降車時における車いす使用者への対応）乗降車用スロープの配備有無,傾斜型自動券売機の有無,ホームドアの有無,授乳室の有無,備考
渋谷スクランブルスクエア（ショップ＆レストラン）,2020/3/3,1500002,131130,東京都,渋谷区,渋谷2-24-12,03-4221-4280,https://shibuya-scramble-square.com/,35.6583725,139.7022597,無,,無,,有,4,24,225,100,無,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,２階エントランス,有,無,178,無,,有,有,有,無,有,有,12,"7F,8F,9F,10F,11F,12F",有,12,"7F,8F,9F,10F,11F,12F",有,無,無,無,,無,,無,,有,2,無,,無,,無,,有,-,無,,有,15,有,5,無,,無,,無,,有,16,無,,有,営業時間内（遠隔にて対応可能なツールを準備）,有,営業時間内,無,無,無,無,無,無,有,
渋谷フクラス　東急プラザ渋谷,2024/12/4,1500043,131130,東京都,渋谷区,道玄坂1-2-3,03-3464-8109,https://shibuya-fukuras.jp/,35.65772667,139.700275,有,41,有,3,有,2,15,155,88,有,有,有,2,20,195,99,,,,1,20,177,100,,,,,,,,,,,,,,,,,,,有,無,165,無,,有,有,有,無,無,有,9,"B3,2F,3F,4F,5F,6F,17F",有,9,"2F,3F,4F,5F,6F,7F,8F",有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,有,2,無,,無,,無,,有,9,無,,無,,有,11:00～20:00,無,無,無,無,無,無,有,https://shibuya.tokyu-plaza.com/
渋谷パルコ,2024/11/8,1500042,131130,東京都,渋谷区,宇田川町15-1,03-3464-5111,https://shibuya.parco.jp/,35.66202833,139.69875,有,137,無,,有,4,24,187,108,有,有,有,2,24,238,108,,,,1,20,200,110,,,,,,,,,,,,,,,,,,正面口,有,無,156,無,,無,有,有,無,無,有,6,"B1,6F,7F,8F,9F,10F",有,6,"B1,6F,7F,8F,9F,10F",有,無,無,無,,無,,無,,無,,無,,無,,無,,有,20,無,,有,3,有,4,無,,無,,無,,有,5,無,,無,,有,10:00～21:00,無,無,無,無,無,無,有,
ハンズ渋谷店,2024/12/5,1500042,131130,東京都,渋谷区,宇田川町12-18,03-5489-5111,https://shibuya.hands.net/,35.66203056,139.6978989,有,23,無,,有,5,15,157,90,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cエントランス,無,無,195,無,,有,有,有,有,無,有,1,5F,有,1,5F,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,9,無,,無,,有,営業時間内,無,無,無,無,無,無,有,A・B・C間のフロア間移動は階段になります。また、エレベーターはA・Cフロアのみの設置となります。車いすの方が利用できる化粧室は、５階Cフロアにございます。５Cフロアへは、井の頭通り口からB2Cフロアへお入りいただくと便利です
GiGO秋葉原1号館,2024/2/20,1010021,131016,東京都,千代田区,外神田1-10-9,03-5256-8123,https://tempo.sega.jp/am/akiba-1/,35.69870389,139.7709953,無,,無,,有,1,6,95,76,無,無,無,1,8,110,80,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,-,無,,有,有,無,有,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,入口面はシャッターで扉なし
2k540 AKI-OKA ARTISAN,2022/1/27,1100005,131067,東京都,台東区,上野5-9-23,03-6806-0254,http://www.jrtk.jp/2k540/,35.70358194,139.7741439,無,,有,1,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,410,無,,無,無,無,無,無,有,1,1F,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,無,無,無,無,無,無,無,
ＫＩＴＴＥ,2024/11/8,1000005,131016,東京都,千代田区,丸の内2-7-2,03-3216-2811,http://jptower-kitte.jp/,35.67977083,139.7651147,有,99,有,,有,3,20,195,85,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,メインエントランス,有,無,210,無,,有,有,有,有,無,有,12,"B1,2F,3F,4F,5F,6F",有,12,"B1,2F,3F,4F,5F,6F",有,無,無,無,,無,,無,,有,4,無,,無,,無,,有,-,無,,無,,有,2,無,,無,,無,,有,7,無,,無,,有,平日8:30～21:00、土曜11:00～21:00、日曜・祝日11:00～20:00,無,無,無,無,無,無,有,
新丸の内ビル,2022/1/28,1000005,131016,東京都,千代田区,丸の内1-5-1,03-5218-5100,https://www.marunouchi.com/,35.68257111,139.7643208,有,167,有,2,有,2,16,185,90,有,有,有,2,24,165,110,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,135,無,-,無,有,有,有,無,有,4,"B1F,2F,6F,7F",有,3,"3F,4F,5F",有,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,有,5,有,2,無,,無,,無,,有,10,無,,無,,有,店舗営業時間内,無,無,無,無,無,無,有,
丸の内ビル,2022/1/28,1000005,131016,東京都,千代田区,丸の内2-4-1,03-5218-5100,https://www.marunouchi.com/,35.68108583,139.7638311,有,134,有,2,有,2,15,179,90,有,有,有,2,21,199,105,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,160,無,-,有,有,有,有,無,有,3,"B1F,5F,35F",無,,,有,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,有,2,有,2,無,,無,,無,,有,4,無,,無,,有,店舗営業時間内,無,無,無,無,無,無,有,
三越日本橋本店,2022/1/20,1030022,131024,東京都,中央区,日本橋室町1-4-1,03-3241-3311,https://www.mitsukoshi.mistore.jp/nihombashi.html,35.68561861,139.7734233,有,241,有,9,有,5,27,182,140,有,有,有,3,20,153,159,,,,,,,,,,,,,,,,,,,,,,,,,ライオン口,無,有,246,無,,無,有,有,有,無,有,7,"1F,2F,5F,7F",有,3,"B1,2F,7F",有,無,無,無,,無,,無,,無,,無,,無,,無,,有,27,無,,有,29,有,20,無,,無,,無,,有,34,無,,有,営業時間内,有,営業時間内,無,無,無,無,無,無,有,
日本橋髙島屋Ｓ．Ｃ．本館,2022/1/23,1030027,131024,東京都,中央区,日本橋2-4-1,03-3211-4111,https://www.takashimaya.co.jp/nihombashi/,35.68076,139.773502,有,326,有,1,有,6,23,182,116,有,無,有,2,17,143,125,,,,,,,,,,,,,,,,,,,,,,,,,正面入口,無,無,182,無,2,有,無,無,無,無,有,2,"3F,8F",有,2,"3F,8F",有,無,無,無,,無,,無,,有,3,無,,無,,無,,有,3,無,,有,20,有,20,無,,無,,無,,有,16,無,,有,営業時間内（事前予約も可）,有,営業時間内（事前予約も可）,有,無,無,無,無,無,有,
表参道ヒルズ,2024/12/6,1500001,131130,東京都,渋谷区,神宮前4-12-10,03-3497-0310,https://www.omotesandohills.com/,35.66721333,139.7089328,有,182,有,2,有,2,15,150,90,有,有,有,2,24,215,90,,,,,,,,,,,,,,,,,,,,,,,,,本館メインエントランス,無,無,187,無,-,有,有,有,無,無,有,2,"B3,2F",無,,,有,無,無,無,,無,,無,,有,あり,無,,無,,無,,無,,有,3,有,6,有,2,無,,無,,無,,有,7,無,,無,,有,11:00～20:00,無,無,無,無,無,無,有,
オリエンタルバザー,2023/2/8,1500001,131130,東京都,渋谷区,神宮前5-9-8,03-3400-3933,https://orientalbazaar.co.jp/,35.6671625,139.7071917,無,,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,正面入口,無,無,125,無,3,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,有,-,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,営業時間中,無,無,無,無,無,無,無,【営業時間】11:00-18:30<br>【定休日】水曜・木曜・年末年始<br>【トイレ】なし
ラフォーレ原宿,2020/2/12,1500001,131130,東京都,渋谷区,神宮前1-11-6,03-3475-0411,https://www.laforet.ne.jp/,35.66909694,139.7053717,有,42,無,,有,1,13,145,90,有,無,有,3,15,156,90,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,190,無,,有,無,無,無,無,有,1,3F,無,,,有,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,無,無,無,無,無,無,有,
ダイバーシティ東京プラザ,2022/1/21,1350064,131083,東京都,江東区,青海 1-1-10,03-6380-7800,https://mitsui-shopping-park.com/divercity-tokyo/,35.62522306,139.7756661,有,1400,有,13,有,1,24,170,135,有,有,有,2,27,195,175,,,,1,13,149,90,,,,2,15,140,85,,,,2,27,170,130,,,,東京テレポート駅ゲート,有,無,195,無,,有,有,有,有,無,有,11,"2F,3F,4F,5F,6F,7F",有,6,"2F,3F,4F,5F,6F,7F",有,無,無,無,,無,,無,,無,,無,,無,,無,,有,165,無,,有,50,有,2,無,,無,,無,,有,40,無,,無,,有,営業時間内（総合案内所スタッフが対応）,無,無,無,無,無,無,有,
デックス東京ビーチ,2020/2/17,1350091,131032,東京都,港区,台場1-6-1,03-3599-6500,https://www.odaiba-decks.com/,35.62903694,139.7755131,有,550,有,6,有,1,11,135,90,有,有,有,2,20,170,100,,,,2,20,170,105,,,,,,,,,,,,,,,,,,3Fアトリウム入口,有,無,88,無,,有,有,有,無,無,有,4,"1F,3F,4F",有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,9,有,1,無,,無,,無,,有,6,無,,有,スタッフシフトによる,有,営業時間内,無,無,無,無,無,無,有,車いす・ベビーカーはアクアシティお台場と相互利用可能
アクアシティお台場,2020/2/17,1350091,131032,東京都,港区,台場１-7-1,03-3599-4700,https://www.aquacity.jp/,35.62778583,139.7735672,有,900,有,10,有,2,17,150,95,有,有,有,2,24,175,120,,,,2,20,170,105,,,,1,24,190,100,,,,,,,,,,,3Fウエストゲート,有,無,170,無,,有,有,有,有,無,有,6,"1F,3F,4F,5F,6F",有,2,"1F,3F",有,無,無,無,,無,,無,,有,2,無,,無,,無,,有,16,無,,有,15,有,4,無,,無,,無,,有,8,無,,無,,有,営業時間内,無,無,無,無,無,無,有,車いす・ベビーカーはデックス東京ビーチと相互利用可能
六本木ヒルズ 森タワー,2022/2/4,1060032,131032,東京都,港区,六本木6-10-1,03-6406-6000,https://www.roppongihills.com/,35.66040028,139.729245,有,574,有,13,有,2,15,155,88,有,有,有,2,15,160,90,,,,,,,,,,,1,21,240,86,,,,2,15,160,90,,,,,有,無,200,無,,有,有,有,無,無,有,18,"B4,B3,B2,B1,1F,2F,3F,4F,5F,6F",有,4,"1F,2F,5F",有,有,無,無,,無,,無,,有,2,無,,無,,無,,無,,無,,有,20,有,3,無,,無,,無,,有,27,無,,無,,有,10:00～20:00,無,無,無,無,無,無,有,情報は変更になる可能性がございます。詳細は施設までお問い合わせください
東京ミッドタウン,2022/1/20,1070052,131032,東京都,港区,赤坂9-7-1,03-3475-3100,https://www.tokyo-midtown.com/jp/,35.666168,139.731186,有,390,無,,有,2,25,186,125,有,有,有,2,20,165,118,,,,1,24,170,105,,,,1,15,159,95,,,,3,24,190,105,,,,ガレリアゲート,有,無,120,無,,有,有,有,有,無,有,14,"B2F,B1F,1F,2F,3F",有,2,"B1F,2F",有,無,無,無,,無,,無,,有,3,無,,無,,無,,無,,無,,有,30,有,7,無,,無,,無,,有,29,無,,無,なし,有,全日11:00～21:00,無,無,無,無,無,無,有,オストメイト対応トイレの設置があるB1階はタワー棟
アトレ品川,2020/2/20,1080075,131032,東京都,港区,港南2-18-1,03-6717-0900,https://www.atre.co.jp/store/shinagawa,35.628969,139.740685,有,68,有,2,有,2,15,155,98,無,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,174,無,,無,有,有,有,無,有,1,2F,有,1,2F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,4,無,,無,,有,営業時間内(休館日を除く),無,無,無,無,無,無,有,駐車場：提携駐車場のご用意がございます。
カレッタ汐留,2024/11/18,1050021,131032,東京都,港区,東新橋1-8-2,03-6218-2100,https://www.caretta.jp/,35.664847,139.762496,有,42,有,3,有,2,24,210,100,有,有,有,1,13,135,90,,,,3,11,130,90,,,,,,,,,,,,,,,,,,Ｃゲート,有,無,170,無,,有,有,有,有,無,有,4,"B2F,B1F,46F,47F",有,1,B1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,5,無,,無,,有,9:30～18:00（営業日のみ）,無,無,無,無,無,無,無,
恵比寿ガーデンプレイス,2024/11/11,1500013,131130,東京都,渋谷区,恵比寿4-20,03-5423-7111,https://gardenplace.jp/,35.64217194,139.7134322,有,450,無,,有,29,24,157,108,有,有,有,2,20,177,107,,,,1,13,143,89,,,,2,30,195,128,,,,,,,,,,,,有,有,180,無,,有,無,無,無,無,有,7,12F,有,6,"エントランスパビリオンB1,オフィスタワー棟B1,1 センタープラザB2,B1,1",有,無,無,無,,無,,無,,無,,無,,無,,無,,有,あり,無,,有,あり,有,-,無,,無,,無,,有,5,無,,無,,無,,無,無,無,無,無,無,無,
アトレ恵比寿,2020/2/20,1500022,131130,東京都,渋谷区,恵比寿南1-5-5,03-5475-8500,https://www.atre.co.jp/store/ebisu,35.647054,139.709882,有,200,有,2,有,3,17,160,100,有,有,有,2,24,229,100,,,,2,38,265,168,,,,,,,,,,,,,,,,,,本館正面入口,有,無,165,無,,無,無,無,無,無,有,5,"4F,5F,6F,7F",有,5,"4F,5F,6F,7F",有,無,無,無,,無,,無,,有,2,無,,無,,無,,無,,無,,有,6,有,-,無,,無,,無,,有,11,無,,無,,有,営業時間内(休館日を除く),無,無,無,無,無,無,有,・駐車場：提携駐車場のご用意がございます。・エレベーター：本館に3台、西館に2台ございます。
代官山アドレス・ディセ,2020/2/6,1500034,131130,東京都,渋谷区,代官山町17-6,03-3461-5586,http://www.17dixsept.jp/,35.64901833,139.7029503,有,73,有,2,有,1,11,142,91,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,144,無,,有,有,有,無,無,有,1,1F,有,1,1F,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,4,無,,無,,有,11:00～20:00,無,無,無,無,無,無,有,
キラリナ京王吉祥寺,2020/2/21,1800003,132039,東京都,武蔵野市,吉祥寺南町2-1-25,0422-29-8240,http://www.kirarinakeiokichijoji.jp/,35.70274528,139.5802383,有,94,有,2,有,2,22,230,120,有,有,有,2,17,170,110,,,,,,,,,,,,,,,,,,,,,,,,,1F南側入口,有,無,200,無,,有,有,有,有,無,有,3,"B1,4F,7F",有,9,"B1,4F,5F,7F",有,無,無,無,,無,,無,,無,なし,無,,有,1,無,,無,,無,,有,7,有,1,無,,無,,無,,有,3,無,,無,,有,10:00～19:00,無,無,無,無,無,無,有,
