施設名,調査_年月日,郵便番号,全国地方公共団体コード,都道府県名,市区町村名,町丁目名,電話番号,施設URL,緯度,経度,駐車場の有無,駐車可能台数,車いす専用駐車場の有無,駐車可能台数2,エレベーターの有無,台数（Aタイプ）,定員数（Aタイプ）,奥行(cm)（Aタイプ）,入口幅(cm)（Aタイプ）,音声案内の有無（Aタイプ）,点字表示(エレベーター内)の有無（Aタイプ）,車いす利用者用パネル(ボタン)の有無（Aタイプ）,台数（Bタイプ）,定員数（Bタイプ）,奥行(cm)（Bタイプ）,入口幅(cm)（Bタイプ）,音声案内の有無（Bタイプ）,点字表示(エレベーター内)の有無（Bタイプ）,車いす利用者用パネル(ボタン)の有無（Bタイプ）,台数（Cタイプ）,定員数（Cタイプ）,奥行(cm)（Cタイプ）,入口幅(cm)（Cタイプ）,音声案内の有無（Cタイプ）,点字表示(エレベーター内)の有無（Cタイプ）,車いす利用者用パネル(ボタン)の有無（Cタイプ）,台数（Dタイプ）,定員数（Dタイプ）,奥行(cm)（Dタイプ）,入口幅(cm)（Dタイプ）,音声案内の有無（Dタイプ）,点字表示(エレベーター内)の有無（Dタイプ）,車いす利用者用パネル(ボタン)の有無（Dタイプ）,台数（Eタイプ）,定員数（Eタイプ）,奥行(cm)（Eタイプ）,入口幅(cm)（Eタイプ）,音声案内の有無（Eタイプ）,点字表示(エレベーター内)の有無（Eタイプ）,車いす利用者用パネル(ボタン)の有無（Eタイプ）,入口名称,自動ドアの有無,施設出入口付近スロープの有無,施設出入口の間口有効寸法(cm),施設出入口の段差の有無,段差の高さ(cm),階段の手すりの有無,点字ブロックの有無,敷地内道路の点字ブロックの有無,館内の点字ブロックの有無,点字や浮き出し文字による館内案内マップの有無,だれでもトイレの設置有無,施設内合計設置数,設置フロア階層,オストメイト対応トイレの有無,施設内合計設置数3,設置フロア階層4,エスカレーターの有無,車いす対応エスカレーターの有無（階段昇降機の有無）,可動式スロープの有無,補助犬のエサ用ボールの有無,個数,補助犬のマットの有無,枚数,補助犬専用トイレの有無,設置箇所数,筆談対応用備品の有無,個数5,聴覚障害者用　振動時計の有無,個数6,聴覚障害者用　タッチパネルの有無,個数7,フラッシュベル（聴覚障害者用アラートシステム）の貸出の可否,個数8,ベビーチェアの貸出の可否,台数,ベビーベッドの貸出の可否,台数9,ベビーカーの貸出の可否,台数10,車いすの貸出の可否,台数11,シャワーチェアの貸出の可否,台数12,移動式手すりの貸出の可否,個数13,点字や浮き出し文字による館内案内マップの貸出の可否,個数14,施設内おむつ交換台の有無,台数15,字幕対応テレビの有無,個数16,スタッフの手話対応の可否,対応可能日時（曜日や時間帯等）,スタッフの筆談対応の可否,対応可能日時（曜日や時間帯等）17,送迎車の有無,ノンステップ対応車の有無,（乗降車時における車いす使用者への対応）ドアマン・ベルスタッフ対応の可否,（乗降車時における車いす使用者への対応）乗降車用スロープの配備有無,傾斜型自動券売機の有無,ホームドアの有無,授乳室の有無,備考
すみだ北斎美術館,2024/11/9,1300014,131075,東京都,墨田区,亀沢2-7-2,(03)6658-8936,https://hokusai-museum.jp/,35.696323,139.800478,無,,有,1,有,2,11,138,80,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,137,無,,有,有,有,有,無,有,1,1F,有,1,1F,無,無,無,無,,無,,無,,有,,無,,無,,無,,無,,無,,有,2,有,2,無,,無,,無,,有,1,無,,無,,有,開館時間内,無,無,無,無,無,無,有,
すみだトリフォニーホール,2022/1/20,1300013,131075,東京都,墨田区,錦糸1-2-3,03-5608-5400,http://www.triphony.com/,35.697241,139.810122,無,,無,,有,1,15,157,90,有,有,有,1,15,160,90,,,,,,,,,,,,,,,,,,,,,,,,,大ホール入口中扉,無,無,166,無,,有,有,有,有,無,有,3,"B1F,2F",無,,,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,3,無,,無,,無,,無,,無,,無,,有,平日9:00～19:00、土・日曜、祝日9:00～17:00,無,無,無,無,無,無,無,
たましんRISURUホール(立川市市民会館),2024/11/10,1900022,132021,東京都,立川市,錦町3-3-20,042-526-1311,https://risuru.hall-info.jp/,35.69339694,139.420075,無,,無,,有,2,9,113,75,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,210,無,,有,有,有,有,無,有,4,"1F,2F,5F",有,4,"1F,2F,5F",無,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,無,,有,1,無,,無,,有,第3月曜を除く9:00～20:00（第3月曜が祝日の場合は翌日が休館となるため対応不可）,無,無,無,無,無,無,無,
ぱれ・らめーる,2022/1/18,1000211,133612,東京都,大島町,差木地字クダッチ,04992-4-0501,https://www.town.oshima.tokyo.jp/~palais/,34.68184444,139.4372111,有,24,無,,有,1,11,144,90,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,有,82,無,,有,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,店舗営業時間内,無,無,無,無,無,無,無,車椅子用トイレ有り
【休業中】八丈島地熱館,2024/2/27,1001623,134015,東京都,八丈島八丈町,中之郷2872,,http://www.town.hachijo.tokyo.jp/chinetsukan/index.html,33.07428056,139.8128583,有,5,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有,無,112,無,,無,無,無,無,有,有,1,1F,無,,,無,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,1,無,,無,,有,営業時間内,無,無,無,無,無,無,無,
大島空港ターミナルビル,2022/1/25,1000101,133612,東京都,大島町,元町字北の山270,04992-2-1400,https://www.kouwan.metro.tokyo.lg.jp/rito/tmg-airport/oshima/oshima_service.html,34.7819554,139.3614962,有,233,有,2,有,1,,,,無,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,有,無,有,有,有,2,"1,2階",有,2,"1,2階",有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,有,,無,,無,,無,無,無,無,無,無,無,
新島空港ターミナルビル,2023/11/29,1000400,133639,東京都,新島村,字川原,04992-5-1267,https://www.kouwan.metro.tokyo.lg.jp/rito/tmg-airport/niijima/niijima_service.html,34.3704019,139.2694507,有,66,有,2,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,128,無,,有,有,有,無,無,有,1,1階,有,1,1階,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,無,,無,無,無,無,無,無,無,航空会社が乗降客用車いす貸し出し対応
神津島空港ターミナルビル,2024/11/20,1000601,133647,東京都,神津島村,字金長,04992-8-1311,https://www.kouwan.metro.tokyo.lg.jp/rito/tmg-airport/kozushima/kozushima_service.html,34.1902414,139.1343624,有,44,有,1,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,1,1階,無,,,無,無,無,無,,無,,無,,無,1,無,,無,,無,,無,,無,,無,,無,2,無,,無,,無,,無,1,無,,無,,無,,無,無,無,無,無,無,無,
三宅島空港ターミナルビル,2022/1/25,1001211,133817,東京都,三宅島三宅村,坪田1378番,(04994)6-0203,https://www.kouwan.metro.tokyo.lg.jp/rito/tmg-airport/miyakejima/miyakejima_service.html,,,有,53,有,1,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,無,無,無,無,無,有,1,1階,無,,,無,無,無,無,,無,,無,,有,1,無,,無,,無,,無,,無,,無,,有,2,無,,無,,無,,有,1,無,,無,,有,,無,無,無,無,無,無,無,
八丈島空港ターミナルビル,2023/12/4,1001401,134015,東京都,八丈島八丈町,大賀郷2839-2,04996-2-3311,https://hachijoapo.net/,,,有,415,有,7,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,160,無,,有,無,無,無,無,有,2,2階,有,1,２階（出発ﾛﾋﾞｰ内）,無,無,無,無,,無,,無,,有,2,無,,無,,無,,無,,無,,有,4,有,5,無,,無,,無,,有,,無,,無,,有,7:45～17:30,無,無,無,無,無,無,有,筆談備品、ベビーカー、車椅子はＡＮＡ所有となります
調布飛行場ターミナルビル,2022/12/22,1820032,132080,東京都,調布市,西町290-3,0422-34-4840,https://www.kouwan.metro.tokyo.lg.jp/rito/tmg-airport/chofu/chofu_service.html　,,,有,200,有,1,有,1,11,140,135,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,200,無,,有,有,有,有,有,有,2,"1,2階",有,2,"1,2階",無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,有,,無,,無,,無,無,無,無,無,無,有,航空会社が乗降客用車いす貸し出し対応
元町港船客待合所,2022/12/22,1000101,133612,東京都,大島町,元町一丁目18番地3,04992-2-5522,,,,有,173,無,,有,1,11,135,90,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,180,無,,有,有,有,有,有,有,1,1階,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,有,窓口の営業時間内で対応可能,無,無,無,無,無,無,無,
岡田港船客待合所・津波避難施設,2022/12/22,1000102,133612,東京都,大島町,岡田字横町83-1、83-3地先,04992-2-5522,,,,有,230,無,,有,1,11,135,80,無,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,180,無,100,有,有,有,有,有,有,1,1階,有,1,1階,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,有,窓口の営業時間内で対応可能,無,無,無,無,無,無,有,
利島港船客待合所,2022/12/22,1000301,133621,東京都,利島村,字東山二号2439番地,04992-9-0193,,34.53218706,139.2804431,有,17,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,100,無,410,有,無,無,無,無,有,1,2階,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,有,窓口の営業時間内で対応可能,無,無,無,無,無,無,無,
新島港船客待合所,2024/11/20,1000402,133639,東京都,新島村,字黒根２-１,04992-5-0187,,34.367315,139.2444092,有,35,有,,有,1,11,135,80,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,210,無,,有,有,有,有,有,有,2,"1階,2階",有,1,1階,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,無,,有,あり,無,,無,,有,窓口の営業時間内で対応可能,無,無,無,無,無,無,有,
野伏漁港船客待合所,2024/11/20,1000511,133639,東京都,新島村,式根島918,04992-7-0357,,34.334188,139.2147375,有,35,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,180,無,354,有,無,無,無,無,有,1,1階,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,有,窓口の営業時間内で対応可能,無,無,無,無,無,無,無,
神津島港船客待合所,2020/1/27,1000601,133647,東京都,神津島村,37番2地先,04992-8-1111,,,,有,34,無,,有,1,11,135,80,無,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,150,無,,有,有,有,有,無,有,2,"1階,2階",有,1,1階,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,有,窓口の営業時間内で対応可能,無,無,無,無,無,無,無,
三浦漁港船客待合所,2022/12/22,1000601,133647,東京都,神津島村,字榎木が沢13番地先,04992-8-1111,,,,有,12,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,180,無,50,無,無,無,無,無,有,2,1階,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,有,窓口の営業時間内で対応可能,無,無,無,無,無,無,無,
三池港仮設船客待合所,2024/11/20,1001211,133817,東京都,三宅島三宅村,坪田1260番,04994-5-0221,,,,有,100,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,180,無,,有,有,無,有,無,有,1,1階,有,1,1階,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,有,窓口の営業時間内で対応可能,無,無,無,無,無,無,無,
阿古漁港船客待合所,2022/12/22,1001212,133817,東京都,三宅島三宅村,阿古672番3,04994-5-0221,,,,有,25,有,,有,1,11,135,80,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,220,無,,有,有,有,有,有,有,2,"1階,2階",有,2,"1階,2階",無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,有,窓口の営業時間内で対応可能,無,無,無,無,無,無,有,
御蔵島港船客待合所,2024/11/20,1001301,133825,東京都,御蔵島村,,04994-8-2220,,,,有,40,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,100,無,440,有,有,無,有,無,有,1,2階,有,1,2階,無,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,有,窓口の営業時間内で対応可能,無,無,無,無,無,無,無,
神湊港底土船客待合所,2020/1/27,1001511,134015,東京都,八丈島八丈町,三根4184番1,04996-2-1211,,,,有,75,無,,有,1,11,135,90,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,190,無,,有,有,有,有,有,有,1,2階,有,1,2階,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,有,窓口の営業時間内で対応可能,無,無,無,無,無,無,有,
八重根港船客待合所,2020/1/27,1001401,134015,東京都,八丈島八丈町,大賀郷542番9,04996-2-1211,,,,有,25,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,170,無,76,無,有,有,有,無,有,1,1階,有,1,1階,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,,無,,無,,無,,無,,無,,無,,有,窓口の営業時間内で対応可能,無,無,無,無,無,無,無,
青ヶ島港船客待合所,2022/12/22,1001701,134023,東京都,青ヶ島村,三宝,04996-9-0033（案内ダイヤル）,,,,有,7,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,250,無,,無,無,無,無,無,有,1,1階,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,※　青ヶ島村役場が代理店業務を行なっています。
二見港船客待合所,2022/12/22,1002101,134210,東京都,小笠原村,父島字東町167番,04998-2-2015（小笠原支庁港湾課）,,,,有,48,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,240,無,,有,有,有,有,無,有,1,1階,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,
沖港船客待合所,2022/12/22,1002211,134210,東京都,小笠原村,母島元地,04998-3-2331（母島農協）,,,,有,65,無,,無,,,,,無,無,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,有,183,無,65,有,有,有,有,無,有,1,1階,無,,,無,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,無,無,無,無,無,無,※　母島農協が代理店業務を行なっています。 ・　障害者用トイレが設置されています。
東京臨海部広報展示室ＴＯＫＹＯミナトリエ,2020/2/20,1350064,131083,東京都,江東区,青海２丁目４番24号　青海フロンティアビル20階,03-5500-2587,https://www.tokyo-minatorie.com/,,,無,,無,,有,1,24,210,110,有,無,有,3,24,210,110,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,140,無,,無,無,無,無,無,無,,,無,,,無,無,無,無,,無,,無,,有,2,無,,無,,有,2,無,,有,2,無,,有,,有,2,無,,無,,無,,有,2,無,,有,開室日 火～木・日　10時～18時 金・土・祝前日　10時～21時 最終入室は閉室時間の30分前まで,無,無,無,無,無,無,無,エレベーターについては、青海フロンティアビル内エレベーターのうち、ミナトリエにアクセスするもの。<br> 施設入口についてはミナトリエのエントランス。<br>点字や浮き出し文字による館内案内マップ及びだれでもトイレはミナトリエ内のもの。<br> 青海フロンティアビル内１階→２階にアクセスするエスカレーターは有 <br>車いすについては今年度中に購入予定（２台）
竹芝客船ターミナル,2022/12/22,1050022,131032,東京都,港区,海岸1-16-1,(03)6721-5888,http://www.tptc.co.jp/terminal/guide/takeshiba,,,無,,無,,有,1,36,295,130,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,,無,,有,無,無,無,無,有,3,1階,有,2,１階,有,有,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,2,無,,無,,有,管理事務所対応　9：00～17：00,無,無,無,無,無,無,有,施設内おむつ交換台　2台　屋内女子トイレ：1台　屋内多目的トイレ（男子トイレ側）：1台　スタッフ筆談対応について、運航事業者窓口開設時は別途対応可能
有明客船ターミナル,2022/12/22,1350063,131083,東京都,江東区,有明3丁目12番13号,03-3536-8651,http://www.tptc.co.jp/terminal/guide/ariake,,,有,約20,無,,有,1,15,160,90,有,有,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無,無,140,無,,有,有,無,有,無,有,3,"1,2階",無,,,有,無,無,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,無,,有,1,無,,無,,有,開館時間に準じる 09:0018:00,無,無,無,無,無,無,無,施設出入口は140cm×3か所
